82,FES/OUJDA,291,903,SRID=3857;POINT (-279567.8138710581 4107423.4138174797),SRID=3857;POINT (-279544.0524924781 4107426.789745201),4590000,4590000,93,El Aioun,STATION,LIN02.T001.ELAIOUN,COMMERCIALE,291900,459,EL AIOUN,oui
83,FES/OUJDA,207,533,SRID=3857;POINT (-350158.4499269326 4072109.6245828015),SRID=3857;POINT (-350139.99505057523 4072089.9162713913),4450000,4450000,93,El Agreb,HALT,LIN02.T001.ELAGREB,NULL,207500,445,EL AGREB,oui
84,FES/OUJDA,73,643,SRID=3857;POINT (-492047.0376064796 4046209.040454652),SRID=3857;POINT (-492041.8454732169 4046239.602551311),4190000,4190000,93,Chebabat,STATION,LIN02.T001.CHEBABAT,COMMERCIALE,73600,419,CHEBABAT,oui
85,FES/OUJDA,43,503,SRID=3857;POINT (-523867.4014261236 4042206.6400589724),SRID=3857;POINT (-523871.34771234985 4042232.3388298578),4130000,4130000,93,Touabba,STATION,LIN02.T001.TOUABAA,COMMERCIALE,43500,413,TOUABAA,oui
86,FES/OUJDA,166,703,SRID=3857;POINT (-394147.965182888 4055506.922027043),SRID=3857;POINT (-394136.1585609576 4055533.409829492),4400000,4400000,93,Safsafat,STATION,LIN02.T001.SAFSAFAT,COMMERCIALE,166700,439,SAFSAFAT,oui
87,FES/OUJDA,15,724,SRID=3857;POINT (-542420.5212096145 4033947.691807211),SRID=3857;POINT (-542422.5024562035 4033918.7595646093),4060000,4060000,93,Sidi Harazem,STATION,LIN02.T001.S.HRAZEM,COMMERCIALE,15700,406,SIDI HARAZEM,oui
88,FES/OUJDA,147,668,SRID=3857;POINT (-415298.24642113503 4060893.571713532),SRID=3857;POINT (-415280.21879728057 4060916.287452088),4370000,4370000,93,M'Soun,HALT,LIN02.T001.M'SOUN,NULL,147700,437,M'SOUN,oui
89,FES/OUJDA,337,442,SRID=3857;POINT (-228427.7373809277 4113603.5774842957),SRID=3857;POINT (-228445.10882486496 4113628.0362850744),4700000,4700000,93,Beni Oukil,STATION,LIN02.T001.BENIOUKIL,COMMERCIALE,337400,470,BENI OUKIL,oui
90,CASAVOYAGEURS/SKACEM,88,425,SRID=3857;POINT (-760958.5193705757 4031007.390387849),SRID=3857;POINT (-760954.073814252 4030998.4328754167),2310000,2310000,,Rabat Ville,HALTES,LIN01.T001.RABATVILLE,,88500,0,RABAT,
91,CASAVOYAGEURS/SKACEM,127,309,SRID=3857;POINT (-732699.7165073721 4062633.5686331387),SRID=3857;POINT (-732707.3410393443 4062652.0582656986),2500000,2500000,93,Kenitra,STATION,LIN01.T001.KENITRA,COMMERCIALE,127500,250,KENITRA,oui
92,FES/OUJDA,64,77,SRID=3857;POINT (-502886.1212303135 4044452.8284345996),SRID=3857;POINT (-502904.3185007545 4044477.925433394),4170000,4170000,93,Matmata,STATION,LIN02.T001.MATMATA,COMMERCIALE,64100,417,MATMATA,oui
93,FES/OUJDA,105,63,SRID=3857;POINT (-461391.50110837974 4056854.2352546128),SRID=3857;POINT (-461406.1453819093 4056878.1004018527),4270000,4270000,93,Bab Merzouka,STATION,LIN02.T001.B.MERZOUKA,COMMERCIALE,105100,427,BAB MARZOUKA,oui
94,FES/OUJDA,119,52,SRID=3857;POINT (-446242.10014244856 4060127.465239557),SRID=3857;POINT (-446236.6871032663 4060111.350060166),4310000,4310000,93,Taza,STATION,LIN02.T001.TAZA,COMMERCIALE,119100,431,TAZA,oui
95,FES/OUJDA,236,662,SRID=3857;POINT (-322604.9386331141 4083795.795614976),SRID=3857;POINT (-322594.01840900327 4083826.9364034273),4510000,4510000,93,Taourirt,STATION,LIN02.T001.TAOURIRT,COMMERCIALE,236700,451,TAOURIRT,oui
96,FES/OUJDA,321,337,SRID=3857;POINT (-246994.45501363493 4109812.3020972908),SRID=3857;POINT (-247002.93344350252 4109846.259662383),4630000,4630000,93,Naima,STATION,LIN02.T001.NAIMA,COMMERCIALE,321300,463,NAIMA,oui
97,FES/OUJDA,89,547,SRID=3857;POINT (-476643.72064072307 4054154.7076050523),SRID=3857;POINT (-476634.89909327746 4054136.758223429),4230000,4230000,93,Oued Amlil,STATION,LIN02.T001.OUEDAMLIL,COMMERCIALE,89500,423,OUED AMLIL,oui
98,FES/OUJDA,265,498,SRID=3857;POINT (-302193.8145179324 4101616.36232885),SRID=3857;POINT (-302216.61918782664 4101645.499024459),4550000,4550000,93,Oued Metlili,STATION,LIN02.T001.OD.METLILI,COMMERCIALE,265500,455,OUED METLILI,oui
99,FES/OUJDA,7,59,SRID=3857;POINT (-551886.9505354878 4037107.8903672444),SRID=3857;POINT (-551876.8933422784 4037134.0218207967),4040000,4040000,93,Fes Bab Ftouh,HALT,LIN02.T001.BABFTOUH,NULL,7100,380,FES,oui
100,FES/OUJDA,218,986,SRID=3857;POINT (-338696.10615851305 4076152.5020847307),SRID=3857;POINT (-338688.1569458737 4076148.28189298),4470000,4470000,93,Gteter,HALT,LIN02.T001.GTETER,NULL,217700,447,GUOUTTITIR,oui
101,FES/OUJDA,185,264,SRID=3857;POINT (-372855.8474814646 4059653.4233929114),SRID=3857;POINT (-372852.66195445857 4059641.8539323495),4410000,4410000,93,Guercif,STATION,LIN02.T001.GUERCIF,COMMERCIALE,185300,441,GUERCIF,oui
